Game,Winner,team_a,team_a_score,team_b,team_b_score
76ers vs Celtics Oct 22,76ers,76ers,117,Celtics,116
76ers vs Hornets Oct 25,76ers,76ers,125,Hornets,121
Blazers vs Timberwolves Oct 22,Timberwolves,Blazers,114,Timberwolves,118
Blazers vs Warriors Oct 24,Blazers,Blazers,139,Warriors,119
Bucks vs Raptors Oct 24,Bucks,Bucks,122,Raptors,116
Bucks vs Wizards Oct 22,Bucks,Bucks,133,Wizards,120
Bulls vs Magic Oct 25,Bulls,Bulls,110,Magic,98
Bulls vs Pistons Oct 22,Bulls,Bulls,115,Pistons,111
Cavaliers vs Knicks Oct 22,Knicks,Cavaliers,111,Knicks,119
Cavaliers vs Nets Oct 24,Cavaliers,Cavaliers,131,Nets,124
Celtics vs 76ers Oct 22,76ers,Celtics,116,76ers,117
Celtics vs Knicks Oct 24,Knicks,Celtics,95,Knicks,105
Clippers vs Jazz Oct 22,Jazz,Clippers,108,Jazz,129
Clippers vs Suns Oct 24,Clippers,Clippers,129,Suns,102
Grizzlies vs Heat Oct 24,Heat,Grizzlies,114,Heat,146
Grizzlies vs Pelicans Oct 22,Grizzlies,Grizzlies,128,Pelicans,122
Hawks vs Magic Oct 24,Hawks,Hawks,111,Magic,107
Hawks vs Raptors Oct 22,Raptors,Hawks,118,Raptors,138
Heat vs Grizzlies Oct 24,Heat,Heat,146,Grizzlies,114
Heat vs Magic Oct 22,Magic,Heat,121,Magic,125
Hornets vs 76ers Oct 25,76ers,Hornets,121,76ers,125
Hornets vs Nets Oct 22,Hornets,Hornets,136,Nets,117
Jazz vs Clippers Oct 22,Jazz,Jazz,129,Clippers,108
Jazz vs Kings Oct 24,Kings,Jazz,104,Kings,105
Kings vs Jazz Oct 24,Kings,Kings,105,Jazz,104
Kings vs Suns Oct 22,Suns,Kings,116,Suns,120
Knicks vs Cavaliers Oct 22,Knicks,Knicks,119,Cavaliers,111
Knicks vs Celtics Oct 24,Knicks,Knicks,105,Celtics,95
Lakers vs Timberwolves Oct 24,Lakers,Lakers,128,Timberwolves,110
Lakers vs Warriors Oct 21,Warriors,Lakers,109,Warriors,119
Magic vs Hawks Oct 24,Hawks,Magic,107,Hawks,111
Magic vs Heat Oct 22,Magic,Magic,125,Heat,121
Mavericks vs Spurs Oct 22,Spurs,Mavericks,92,Spurs,125
Mavericks vs Wizards Oct 24,Wizards,Mavericks,107,Wizards,117
Nets vs Cavaliers Oct 24,Cavaliers,Nets,124,Cavaliers,131
Nets vs Hornets Oct 22,Hornets,Nets,117,Hornets,136
Nuggets vs Suns Oct 25,Nuggets,Nuggets,133,Suns,111
Nuggets vs Warriors Oct 23,Warriors,Nuggets,131,Warriors,137
Pacers vs Grizzlies Oct 25,Grizzlies,Pacers,103,Grizzlies,128
Pacers vs Thunder Oct 23,Thunder,Pacers,135,Thunder,141
Pelicans vs Grizzlies Oct 22,Grizzlies,Pelicans,122,Grizzlies,128
Pelicans vs Spurs Oct 24,Spurs,Pelicans,116,Spurs,120
Pistons vs Bulls Oct 22,Bulls,Pistons,111,Bulls,115
Pistons vs Rockets Oct 24,Pistons,Pistons,115,Rockets,111
Raptors vs Bucks Oct 24,Bucks,Raptors,116,Bucks,122
Raptors vs Hawks Oct 22,Raptors,Raptors,138,Hawks,118
Rockets vs Pistons Oct 24,Pistons,Rockets,111,Pistons,115
Rockets vs Thunder Oct 21,Thunder,Rockets,124,Thunder,125
Spurs vs Mavericks Oct 22,Spurs,Spurs,125,Mavericks,92
Spurs vs Pelicans Oct 24,Spurs,Spurs,120,Pelicans,116
Suns vs Kings Oct 22,Suns,Suns,120,Kings,116
Suns vs Clippers Oct 24,Clippers,Suns,102,Clippers,129
Thunder vs Pacers Oct 23,Thunder,Thunder,141,Pacers,135
Thunder vs Rockets Oct 21,Thunder,Thunder,125,Rockets,124
Timberwolves vs Blazers Oct 22,Timberwolves,Timberwolves,118,Blazers,114
Timberwolves vs Lakers Oct 24,Lakers,Timberwolves,110,Lakers,128
Warriors vs Lakers Oct 21,Warriors,Warriors,119,Lakers,109
Warriors vs Nuggets Oct 23,Warriors,Warriors,137,Nuggets,131
Wizards vs Bucks Oct 22,Bucks,Wizards,120,Bucks,133
Wizards vs Mavericks Oct 24,Wizards,Wizards,117,Mavericks,107
